image_id,algorithm,W,H,S_raw,S_encoded,CR,saving_percent,bpp,T_enc,T_decode,T_total,PeakRSS,PeakRSS_additional,PSNR,SSIM,lossless_exact
1105,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11113715100009358,1.3631585520001863,1.47429570300028,258764,0,36.383591810634094,0.9892515674493615,False
1105,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11929585000007137,1.705052797999997,1.8243486480000684,258764,0,31.56060832092113,0.9151422691488221,False
1106,JPEG,512,384,589824,48383,12.190728148316557,91.79704454210069,1.9687093098958333,0.0010231810001641861,0.0011682360000122571,0.0021914170001764433,258764,0,32.90823876639075,0.9258666427554187,False
1106,Huffman,512,384,589824,571216,1.0325761183160136,3.154839409722221,23.242838541666668,0.04264945800014175,0.12010528199971304,0.1627547399998548,258764,0,inf,1.0,True
1106,LZW,512,384,589824,591901,0.9964909672394539,-0.35213894314236605,24.084513346354168,0.006304445999830932,0.002932122999936837,0.009236568999767769,258764,0,inf,1.0,True
1106,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11212965999993685,1.1409035149999909,1.2530331749999277,258764,0,37.06494991116137,0.9910186408784089,False
1106,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11477747899971291,1.3512943390001055,1.4660718179998184,258764,0,32.54902947140668,0.9101560775755869,False
1107,JPEG,384,512,589824,47790,12.341996233521657,91.8975830078125,1.944580078125,0.0009517819999018684,0.0011554540001270652,0.0021072360000289336,258764,0,32.769624433694474,0.9092227814016777,False
1107,Huffman,384,512,589824,563135,1.047393608992515,4.524909125434029,22.914021809895832,0.03968693999968309,0.11496242399971379,0.15464936399939688,258764,0,inf,1.0,True
1107,LZW,384,512,589824,601981,0.9798050104571406,-2.061123318142366,24.494669596354168,0.005854800999713916,0.0025788020002437406,0.008433602999957657,258764,0,inf,1.0,True
1107,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.1077777209998203,1.2673436299996865,1.3751213509995068,258764,0,36.885798773106536,0.9900368492643877,False
1107,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11373029600008522,1.3518220689998088,1.465552364999894,258764,0,32.652495950939304,0.9020235959080978,False
1108,JPEG,384,512,589824,58494,10.083495743153144,90.08280436197916,2.380126953125,0.001005686000098649,0.0011130809998576296,0.0021187669999562786,258764,0,31.396997540949943,0.9175987120094481,False
1108,Huffman,384,512,589824,569721,1.0352856924705252,3.408304850260413,23.1820068359375,0.04573317099993801,0.11578219000011813,0.16151536100005615,258764,0,inf,1.0,True
1108,LZW,384,512,589824,613187,0.9618990617870242,-3.961012098524308,24.950642903645832,0.006484442000328272,0.0026502110004003043,0.009134653000728576,258764,0,inf,1.0,True
1108,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11073571399992943,2.27936808000004,2.3901037939999696,258764,0,27.942149610373185,0.9368805155035279,False
1108,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.1171810590003588,2.153557442999954,2.270738502000313,258764,0,25.9865591024657,0.8796691579482738,False
1109,JPEG,512,384,589824,30388,19.409767013294722,94.84795464409721,1.2364908854166667,0.0009004439998534508,0.000990732999980537,0.0018911769998339878,258764,0,37.94508916524033,0.9437040749663761,False
1109,Huffman,512,384,589824,535410,1.1016305261388468,9.2254638671875,21.785888671875,0.03951887200037163,0.10928050000029543,0.14879937200066706,258764,0,inf,1.0,True
1109,LZW,512,384,589824,534741,1.1030087462902602,9.338887532552087,21.7586669921875,0.006515992999993614,0.002737746000093466,0.00925373900008708,258764,0,inf,1.0,True
1109,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11096440299979804,0.5905153870003232,0.7014797900001213,258764,0,43.29434569120572,0.9966257335087639,False
1109,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11705938200020682,0.6501202450003802,0.7671796270005871,258764,0,33.958486505892914,0.8914908175014347,False
111,JPEG,384,512,589824,49897,11.820830911678057,91.54035780164931,2.0303141276041665,0.0009660249997978099,0.0011182140001437801,0.00208423899994159,258764,0,31.446860130134688,0.8751339058541104,False
111,Huffman,384,512,589824,567300,1.0397038603913273,3.818766276041663,23.08349609375,0.04282069800001409,0.11528770299992175,0.15810840099993584,258764,0,inf,1.0,True
111,LZW,384,512,589824,586629,1.0054463724091376,0.54168701171875,23.8699951171875,0.005572937999659189,0.00264286700030425,0.008215804999963439,258764,0,inf,1.0,True
111,Slepian-Wolf,384,512,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11323566199962443,1.2745640510001977,1.387799712999822,258764,0,34.76818858938289,0.9889648041361153,False
111,Wyner-Ziv,384,512,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.114696592999735,1.144378740999855,1.25907533399959,258764,0,32.265819835565196,0.9294353616827626,False
1110,JPEG,512,384,589824,57890,10.188702712040076,90.18520779079861,2.3555501302083335,0.0010870770001929486,0.001185501999771077,0.0022725789999640256,258764,0,31.784373308522234,0.9278410538592318,False
1110,Huffman,512,384,589824,580276,1.0164542390172953,1.618787977430558,23.611490885416668,0.04011974700006249,0.11920458900021913,0.15932433600028162,258764,0,inf,1.0,True
1110,LZW,512,384,589824,603955,0.9766025614491146,-2.395799424913192,24.574991861979168,0.005824140999720839,0.0028622690001611772,0.008686409999882017,258764,0,inf,1.0,True
1110,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10843559499971889,1.5192725359997894,1.6277081309995083,258764,0,35.84487571456911,0.9874320687018777,False
1110,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.11393218000011984,1.4521302980001565,1.5660624780002763,258764,0,32.24141279833233,0.9282015400702514,False
1111,JPEG,512,384,589824,51678,11.413444792755138,91.2384033203125,2.102783203125,0.0009575660001246433,0.0010459569998602092,0.0020035229999848525,258764,0,32.89578480223203,0.9299359578465546,False
1111,Huffman,512,384,589824,585615,1.0071873158986706,0.713602701822913,23.8287353515625,0.04123874300012176,0.11908213399965462,0.16032087699977637,258764,0,inf,1.0,True
1111,LZW,512,384,589824,598127,0.986118332728668,-1.407708062065982,24.337849934895832,0.0054967370001577365,0.0028759760002685653,0.008372713000426302,258764,0,inf,1.0,True
1111,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.10954883499971402,1.1186248760000126,1.2281737109997266,258764,0,39.33266531897381,0.9942764636227092,False
1111,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12025276599979406,1.1581858230001671,1.2784385889999612,258764,0,33.24985732610642,0.9235036416253536,False
1112,JPEG,512,384,589824,49096,12.013687469447612,91.67616102430556,1.9977213541666667,0.0011263830001553288,0.0011519829999997455,0.0022783660001550743,258764,0,32.62683331792639,0.9288135409467696,False
1112,Huffman,512,384,589824,559419,1.0543510320528977,5.1549275716145875,22.7628173828125,0.03956681799991202,0.12528918400039402,0.16485600200030603,258764,0,inf,1.0,True
1112,LZW,512,384,589824,566235,1.0416593817054756,3.99932861328125,23.0401611328125,0.006493511999906332,0.0027548890002435655,0.009248401000149897,258764,0,inf,1.0,True
1112,Slepian-Wolf,512,384,589824,571411,1.032223740880032,3.121778700086808,23.250773111979168,0.11148528300009275,1.5493505500003266,1.6608358330004194,258764,0,32.36442981347981,0.980656953109707,False
1112,Wyner-Ziv,512,384,589824,276504,2.133148164221856,53.12093098958333,11.2509765625,0.12022204999993846,1.6629294679996747,1.7831515179996131,258764,0,30.899749693707296,0.904258772326036,False
1113,JPEG,512,384,589824,47195,12.497595084225024,91.99846055772569,1.9203694661458333,0.001007615999697009,0.0012233779998496175,0.0022309939995466266,258764,0,32.92635957708774,0.9309205614636951,False
